iter	Passed	Remaining
365	619	1073
366	620	1070
367	622	1068
368	623	1065
369	624	1063
370	625	1060
371	626	1057
372	627	1054
373	628	1051
374	629	1049
375	630	1046
376	631	1043
377	632	1041
378	633	1038
379	635	1036
380	636	1033
381	637	1031
382	638	1028
383	639	1026
384	640	1023
385	642	1021
386	643	1018
387	644	1016
388	645	1013
389	646	1011
390	647	1008
391	648	1005
392	649	1003
393	650	1000
394	651	998
395	653	996
396	654	993
397	655	990
398	656	988
399	657	985
400	658	983
401	659	980
402	660	978
403	661	976
404	662	973
405	663	971
406	664	968
407	666	966
408	667	964
409	668	962
410	669	959
411	670	957
412	671	954
413	672	952
414	673	950
415	674	947
416	676	945
417	677	942
418	678	940
419	679	938
420	680	935
421	681	933
422	683	931
423	684	929
424	685	926
425	686	924
426	687	922
427	688	919
428	689	917
429	690	915
430	691	913
431	692	910
432	693	908
433	694	905
434	696	904
435	697	902
436	698	900
437	699	898
438	700	895
439	701	893
440	702	891
441	704	888
442	705	886
443	706	884
444	707	882
445	708	880
446	710	878
447	711	876
448	712	874
449	714	872
450	715	870
451	716	868
452	717	866
453	718	863
454	719	861
455	720	859
456	721	857
457	722	854
458	723	852
459	724	850
460	725	848
461	727	846
462	728	844
463	729	842
464	730	840
